title,description,image_file,alt,medium,series,tags,is_featured,id
"Psychopomp's Gate","","/artwork/psychopomp.jpg","A peacock standing in a disembodied doorway, in cloudy fog. Stones and geometric shapes are barely discernable in the background.",1,5,"",False
"Cottage of Tranquility","","/artwork/cottage-of-tranquility.jpg","A small cottage made out of a snail shell, with round portal-type windows set in a grassy meadow with bare trees. An armadillo is browsing in front of it.",1,7,"",False
"Childhood Memories","","/artwork/childhood-memories.jpg","Two smiling young girls are standing behind a large swan in a simulated antique photo with indescipherable handwriting overlaid on it.",1,10,"",False
"Forgotten Shrine of Lepidoptera","","/artwork/forgotten-shrine-of-lepidoptera.jpg","An old dressmaker's dummy with a lightbulb in place of a head is in the foreground of a wooded environment with ladyslippers and other wildflowers. Butterflies and moths are flying toward the lightbulb's glow.",1,5,"",False
"Bride of Dumpty","","/artwork/bride-of-dumpty.jpg","An egg-headed girl in a bridal dress is standing in the foreground with a rocking horse and broken eggshells at her feet. There is a full moon and a stone wall in the background.",1,6,"",False
"Baba Yaga's Place","","/artwork/baba-yagas-place.jpg","An egg hut with a thatched roof walks on spindly chicken legs sticking out of the hut's supportive nest. The backdrop is a moody sky with bare trees and a grazing goat.",1,6,"",False
"Anatomy of Loneliness","","/artwork/anatomy-of-loneliness.jpg","The burnt torso of a plastic doll is overlaid with textures and branches.",1,9,"",False
"An Afternoon Chat","","/artwork/an-afternoon-chat.jpg","Two women from the American Civil War era are sitting at a garden table that supports a small vase of flowers. There is an overlay of a handwritten letter and dried roses and petals.",1,10,"",False
"A Man and his Monkey","","/artwork/a-man-and-his-monkey.jpg","A monocled, bald man sits for a daguerratype portrait with a monkey on his shoulder. The image is heavily textured with roots and handwriting.",1,10,"",False
"A Life of Waiting","","/artwork/a-life-of-waiting.jpg","A rusted, empty bed without a mattress sits in an abandoned room with an old tattered vinyl chair off to the side. A bare lightbulb hangs in the foreground.",1,9,"",False
"Untitled","","/artwork/other-worlds-untitled-2.jpg","A lamp post appears to grow out of a hollow dead tree trunk at night. There is a barred owl sitting on the tree trunk while a rabbit grazes on tall grass and purple flowers in front of it.",1,5,"",False
"Darkness","","/artwork/darkness.jpg","A moody, heavily textured portrait of a dark-haired man with his face half in shadow.",1,10,"",False
"Dwelling","","/artwork/dwelling.jpg","An egg house with a thatched roof sits behind a fence made of forks sticking tines-up is in the foreground. There is a blue sky and the house features topiaries to either side of the heavy wooden door.",1,7,"",False
"Echo Reborn","","/artwork/echo-reborn.jpg","A lonely black and white image featuring a bird skull at the top and a possum jawbone at the bottom. There is a large, dark tree in the background and the white border features handwriting around the perimeter of the image.",1,4,"",False
"Exiles from Fable","","/artwork/exiles-from-fable.jpg","A bird-headed girl in a light blue dress is standing next to an ornately carved tall red velvet chair with a green frog sitting in it. There are keys with butterfly wings perched on top of the chair while a brown rat stands on their hind legs in the foreground.",1,6,"",False
"Family Portrait","","/artwork/family-portrait.jpg","A somber, sepia-toned portrait of a family of three. The father and mother are holding a toddler. There are three skulls superimposed over the bottom of the image.",1,10,"",False
"Forgotten Outpost of the Mushroom King","","/artwork/forgotten-outpost-of-the-mushroom-king.jpg","",1,7,"",False
"Habitat of the Anonymous Savage","","/artwork/habitat-of-the-anonymous-savage.jpg","",1,4,"",False
"Haven Sight","","/artwork/haven-sight.jpg","",1,4,"",False
"Heart of the Home","","/artwork/heart-of-the-home.jpg","",1,9,"",False
"Heartland","","/artwork/heartland.jpg","",1,9,"",False
"Heroine in Peril","","/artwork/heroine-in-peril.jpg","",1,11,"",False
"Hide and Seek in the Childrens Garden","","/artwork/hide-and-seek-in-the-childrens-garden.jpg","",1,4,"",False
"Homes for Transitory Dreams","","/artwork/homes-for-transitory-dreams.jpg","",1,7,"",False
"Homestead","","/artwork/homestead.jpg","",1,9,"",False
"Java Estate","","/artwork/java-estate.jpg","",1,7,"",False
"Keeping the Monsters at Bay","","/artwork/keeping-the-monsters-at-bay.jpg","",1,9,"",False
"Last Rite","","/artwork/last-rite.jpg","",1,9,"",False
"Lessons in Flight","","/artwork/lessons-in-flight.jpg","",1,11,"",False
"Midwinter of the Spirit","","/artwork/midwinter-of-the-spirit.jpg","",1,9,"",False
"Penance Wind","","/artwork/penance-wind.jpg","",1,9,"",False
"Portal to the Beetle Kingdom","","/artwork/portal-to-the-beetle-kingdom.jpg","",1,5,"",False
"Rooted","","/artwork/rooted.jpg","",1,9,"",False
"Sister Aphasia's Home for Very Unruly Girls","","/artwork/sister-aphasias-home-for-very-unruly-girls.jpg","",1,4,"",False
"Slumber","","/artwork/slumber.jpg","",1,5,"",False
"Sprawl","","/artwork/sprawl.jpg","",1,7,"",False
"Still Life with Foot","","/artwork/still-life-with-foot.jpg","",1,8,"",False
"Still Life with Hands and Fruit","","/artwork/still-life-with-hands-and-fruit.jpg","",1,8,"",False
"Still Life with Torso","","/artwork/still-life-with-torso.jpg","",1,8,"",False
"The Automaton's Dwelling","","/artwork/the-automatons-dwelling.jpg","",1,9,"",False
"The Bawdy House on Petticoat Lane","","/artwork/the-bawdy-house-on-petticoat-lane.jpg","",1,4,"",False
"The Beekeeper's Wife","","/artwork/the-beekeepers-wife.jpg","",1,3,"",False
"The Body's Landscape in Winter","","/artwork/the-bodys-landscape-in-winter-2002.jpg","",1,9,"",False
"The Caterpillar","","/artwork/the-caterpillar.jpg","",1,6,"",False
"The Child Eaters","","/artwork/the-child-eaters.jpg","",1,11,"",False
"The Dormouse","","/artwork/the-dormouse.jpg","",1,6,"",False
"The Faded Glory of a Gentleman Farmer","","/artwork/the-faded-glory-of-a-gentleman-farmer.jpg","",1,6,"",False
"The Fair Offering","","/artwork/the-fair-offering.jpg","",1,5,"",False
"The Goddess' Heart is Far from Empty","","/artwork/the-goddess-heart-is-far-from-empty.jpg","",1,4,"",False
"The Key","","/artwork/the-key-2003.jpg","",1,4,"",False
"The Pickup Artist","","/artwork/the-pickup-artist-objectified.jpg","",1,4,"",False
"The Pigs Go Visiting in the City","","/artwork/the-pigs-go-visiting-in-the-city.jpg","",1,4,"",False
"The Stag's Ride","","/artwork/the-stags-ride.jpg","",1,4,"",False
